0;index_column;Index column
1;employee_age;Age of the employee
2;attrition;Yes or No. Yes means the employee left the company
3;travel_in_job;rarely, frequently, never
4;employee_department;Sales Department, R&D Department, HR Department
5;distance_from_home;"Distance of the employee""s home from office"
6;employee_education;1: 'Below College', 2: 'College', 3: 'Bachelor...
7;workplace_satisfaction;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very Hig...
8;gender;Female, Male
9;employee_job_involvement;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
10;job_level;Job level numeric value
11;job_role;"Sales Executive', 'Scientist', 'Lab Technician', 
'Production Director', 'Health Representative', 'Manager',  'Sales Rep', 'R&D Director', 'HR Personnel'"
12;job_satisfaction;Satisfaction with the job - numerical scale. 1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
13;marital_status;1=divorced, 2=married, 3=single
14;monthly_income;Numerical value - monthly salary
15;numcompanies_worked;Numerical value - integer value
16;over_time;Yes or No. 
17;percent_salary_hike;Numerical value - percentage increase in salary
18;performance_rating;Numerical value - performance rating
19;relationship_satisfaction;Numerical Value - Relations Satisfaction
20;stock_option_level;0: No stocks, 1: 'Low', 2: 'Medium', 3: 'High'
21;total_working_years;Numerical value 
22;training_times_last_year;Numerical value 
23;work_life_balance;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
24;years_at_company;Numerical value 
25;years_in_current_role;Numerical value 
26;years_since_last_promotion;Numerical value 
27;years_with_current_manager;Numerical value 
