Column No;Column Name;Description
1;index_column;Index column
2;employee_age;Age of the employee
3;attrition;Yes or No. Yes means the employee left the company
4;travel_in_job;rarely, frequently, never
5;employee_department;Sales Department, R&D Department, HR Department
6;distance_from_home;"Distance of the employee""s home from office"
7;employee_education;1: 'Below College', 2: 'College', 3: 'Bachelor...
8;workplace_satisfaction;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very Hig...
9;gender;Female, Male
10;employee_job_involvement;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
11;job_level;Job level numeric value
12;job_role;Sales Executive', 'Scientist', 'Lab Technician',  'Production Director', 'Health Representative', 'Manager',  'Sales Rep', 'R&D Director', 'HR Personnel'
13;job_satisfaction;Satisfaction with the job - numerical scale. 1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
14;marital_status;1=divorced, 2=married, 3=single
15;monthly_income;Numerical value - monthly salary
16;numcompanies_worked;Numerical value - integer value
17;over_time;Yes or No. 
18;percent_salary_hike;Numerical value - percentage increase in salary
19;performance_rating;Numerical value - performance rating
20;relationship_satisfaction;Numerical Value - Relations Satisfaction
21;stock_option_level;0: No stocks, 1: 'Low', 2: 'Medium', 3: 'High'
22;total_working_years;Numerical value 
23;training_times_last_year;Numerical value 
24;work_life_balance;1: 'Low', 2: 'Medium', 3: 'High', 4: 'Very High'
25;years_at_company;Numerical value 
26;years_in_current_role;Numerical value 
27;years_since_last_promotion;Numerical value 
28;years_with_current_manager;Numerical value 
